178.150.235.9 - - [01/Dec/2017:01:25:37 -0500] "GET /templates/it_zen/assets/css/animations.css HTTP/1.1" 200 4047 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:37 -0500] "GET /modules/mod_slideshowck/themes/default/css/camera.css HTTP/1.1" 200 3601 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:37 -0500] "GET /templates/it_zen/assets/less/template.css HTTP/1.1" 200 38472 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:38 -0500] "GET /media/jui/js/jquery.min.js?5c3c712deec8f5e07670dabc552ece4f HTTP/1.1" 200 34113 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:38 -0500] "GET /media/jui/js/jquery-noconflict.js?5c3c712deec8f5e07670dabc552ece4f HTTP/1.1" 200 316 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:38 -0500] "GET /media/jui/js/jquery-migrate.min.js?5c3c712deec8f5e07670dabc552ece4f HTTP/1.1" 200 4365 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:38 -0500] "GET /templates/it_zen/assets/less/template_responsive.css HTTP/1.1" 200 5677 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:38 -0500] "GET /media/system/js/caption.js?5c3c712deec8f5e07670dabc552ece4f HTTP/1.1" 200 685 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:38 -0500] "GET /media/mod_languages/css/template.css HTTP/1.1" 200 508 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:38 -0500] "GET /templates/it_zen/assets/js/template.js HTTP/1.1" 200 2981 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
